States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,7461,6052,1302,107
FCT,1324,910,386,28
Kano,1158,445,663,50
Rivers,631,362,244,25
Edo,620,445,150,25
Oyo,605,355,242,8
Ogun,574,305,255,14
Kaduna,472,192,270,10
Borno,445,122,293,30
Gombe,441,273,156,12
Bauchi,430,172,247,11
Katsina,414,159,233,22
Jigawa,317,133,178,6
Delta,317,224,76,17
Nasarawa,177,103,68,6
Abia,173,153,20,0
Kwara,168,66,98,4
Plateau,168,57,106,5
Ebonyi,162,78,84,0
Imo,159,135,21,3
Sokoto,132,15,103,14
Bayelsa,86,55,28,3
Ondo,82,38,35,9
Zamfara,76,0,71,5
Enugu,76,44,27,5
Anambra,66,32,25,9
Niger,66,34,31,1
Kebbi,66,29,31,6
Yobe,55,2,45,8
Osun,50,5,41,4
Akwa Ibom,48,28,18,2
Adamawa,42,1,37,4
Benue,36,25,11,0
Ekiti,30,10,18,2
Taraba,18,8,10,0
Kogi,3,3,0,0
